"Run","LTE","Cultivar","Trt","Date","Sample"
"211026AB",-15.8,"MQ","field",2021-10-26,"AB"
"211026AB",-16.4,"BR","field",2021-10-26,"AB"
"211026AB",-16.4,"FR","field",2021-10-26,"AB"
"211026AB",-16.6,"LC","field",2021-10-26,"AB"
"211026AB",-16.7,"LC","field",2021-10-26,"AB"
"211026AB",-16.8,"BR","field",2021-10-26,"AB"
"211026AB",-17.2,"LC","field",2021-10-26,"AB"
"211026AB",-17.3,"LC","field",2021-10-26,"AB"
"211026AB",-17.5,"FR","field",2021-10-26,"AB"
"211026AB",-17.5,"LC","field",2021-10-26,"AB"
"211026AB",-17.6,"BR","field",2021-10-26,"AB"
"211026AB",-17.6,"BR","field",2021-10-26,"AB"
"211026AB",-17.7,"MQ","field",2021-10-26,"AB"
"211026AB",-17.8,"BR","field",2021-10-26,"AB"
"211026AB",-17.9,"LC","field",2021-10-26,"AB"
"211026AB",-17.9,"BR","field",2021-10-26,"AB"
"211026AB",-18.1,"LC","field",2021-10-26,"AB"
"211026AB",-18.1,"LC","field",2021-10-26,"AB"
"211026AB",-18.1,"LC","field",2021-10-26,"AB"
"211026AB",-18.2,"LC","field",2021-10-26,"AB"
"211026AB",-18.3,"MQ","field",2021-10-26,"AB"
"211026AB",-18.3,"MQ","field",2021-10-26,"AB"
"211026AB",-18.3,"FR","field",2021-10-26,"AB"
"211026AB",-18.4,"MQ","field",2021-10-26,"AB"
"211026AB",-18.4,"BR","field",2021-10-26,"AB"
"211026AB",-18.4,"LC","field",2021-10-26,"AB"
"211026AB",-18.5,"BR","field",2021-10-26,"AB"
"211026AB",-18.5,"LC","field",2021-10-26,"AB"
"211026AB",-18.5,"BR","field",2021-10-26,"AB"
"211026AB",-18.5,"BR","field",2021-10-26,"AB"
"211026AB",-18.6,"BR","field",2021-10-26,"AB"
"211026AB",-18.7,"MQ","field",2021-10-26,"AB"
"211026AB",-18.7,"BR","field",2021-10-26,"AB"
"211026AB",-18.7,"LC","field",2021-10-26,"AB"
"211026AB",-18.7,"BR","field",2021-10-26,"AB"
"211026AB",-18.8,"BR","field",2021-10-26,"AB"
"211026AB",-18.8,"LC","field",2021-10-26,"AB"
"211026AB",-18.8,"BR","field",2021-10-26,"AB"
"211026AB",-19,"LC","field",2021-10-26,"AB"
"211026AB",-19,"LC","field",2021-10-26,"AB"
"211026AB",-19.1,"FR","field",2021-10-26,"AB"
"211026AB",-19.1,"MQ","field",2021-10-26,"AB"
"211026AB",-19.1,"BR","field",2021-10-26,"AB"
"211026AB",-19.2,"MQ","field",2021-10-26,"AB"
"211026AB",-19.2,"BR","field",2021-10-26,"AB"
"211026AB",-19.2,"LC","field",2021-10-26,"AB"
"211026AB",-19.3,"BR","field",2021-10-26,"AB"
"211026AB",-19.4,"FR","field",2021-10-26,"AB"
"211026AB",-19.5,"MQ","field",2021-10-26,"AB"
"211026AB",-19.5,"FR","field",2021-10-26,"AB"
"211026AB",-19.5,"BR","field",2021-10-26,"AB"
"211026AB",-19.5,"MQ","field",2021-10-26,"AB"
"211026AB",-19.6,"MQ","field",2021-10-26,"AB"
"211026AB",-19.6,"FR","field",2021-10-26,"AB"
"211026AB",-19.7,"BR","field",2021-10-26,"AB"
"211026AB",-19.7,"FR","field",2021-10-26,"AB"
"211026AB",-19.7,"MQ","field",2021-10-26,"AB"
"211026AB",-19.7,"BR","field",2021-10-26,"AB"
"211026AB",-19.7,"BR","field",2021-10-26,"AB"
"211026AB",-19.7,"BR","field",2021-10-26,"AB"
"211026AB",-19.8,"PP","field",2021-10-26,"AB"
"211026AB",-19.8,"LC","field",2021-10-26,"AB"
"211026AB",-19.9,"MQ","field",2021-10-26,"AB"
"211026AB",-19.9,"PP","field",2021-10-26,"AB"
"211026AB",-19.9,"PP","field",2021-10-26,"AB"
"211026AB",-19.9,"BR","field",2021-10-26,"AB"
"211026AB",-19.9,"PP","field",2021-10-26,"AB"
"211026AB",-19.9,"BR","field",2021-10-26,"AB"
"211026AB",-20,"MQ","field",2021-10-26,"AB"
"211026AB",-20,"BR","field",2021-10-26,"AB"
"211026AB",-20,"FR","field",2021-10-26,"AB"
"211026AB",-20,"PP","field",2021-10-26,"AB"
"211026AB",-20.1,"FR","field",2021-10-26,"AB"
"211026AB",-20.1,"FR","field",2021-10-26,"AB"
"211026AB",-20.1,"MQ","field",2021-10-26,"AB"
"211026AB",-20.1,"PP","field",2021-10-26,"AB"
"211026AB",-20.1,"PP","field",2021-10-26,"AB"
"211026AB",-20.2,"FR","field",2021-10-26,"AB"
"211026AB",-20.2,"PP","field",2021-10-26,"AB"
"211026AB",-20.2,"PP","field",2021-10-26,"AB"
"211026AB",-20.2,"PP","field",2021-10-26,"AB"
"211026AB",-20.3,"FR","field",2021-10-26,"AB"
"211026AB",-20.3,"MQ","field",2021-10-26,"AB"
"211026AB",-20.3,"PP","field",2021-10-26,"AB"
"211026AB",-20.3,"PP","field",2021-10-26,"AB"
"211026AB",-20.4,"LC","field",2021-10-26,"AB"
"211026AB",-20.4,"FR","field",2021-10-26,"AB"
"211026AB",-20.4,"FR","field",2021-10-26,"AB"
"211026AB",-20.4,"BR","field",2021-10-26,"AB"
"211026AB",-20.4,"PP","field",2021-10-26,"AB"
"211026AB",-20.4,"PP","field",2021-10-26,"AB"
"211026AB",-20.4,"LC","field",2021-10-26,"AB"
"211026AB",-20.5,"BR","field",2021-10-26,"AB"
"211026AB",-20.5,"FR","field",2021-10-26,"AB"
"211026AB",-20.5,"MQ","field",2021-10-26,"AB"
"211026AB",-20.5,"MQ","field",2021-10-26,"AB"
"211026AB",-20.6,"FR","field",2021-10-26,"AB"
"211026AB",-20.6,"FR","field",2021-10-26,"AB"
"211026AB",-20.6,"PP","field",2021-10-26,"AB"
"211026AB",-20.6,"FR","field",2021-10-26,"AB"
"211026AB",-20.6,"PP","field",2021-10-26,"AB"
"211026AB",-20.6,"PP","field",2021-10-26,"AB"
"211026AB",-20.6,"PP","field",2021-10-26,"AB"
"211026AB",-20.6,"PP","field",2021-10-26,"AB"
"211026AB",-20.7,"MQ","field",2021-10-26,"AB"
"211026AB",-20.7,"PP","field",2021-10-26,"AB"
"211026AB",-20.7,"FR","field",2021-10-26,"AB"
"211026AB",-20.7,"LC","field",2021-10-26,"AB"
"211026AB",-20.8,"FR","field",2021-10-26,"AB"
"211026AB",-20.8,"FR","field",2021-10-26,"AB"
"211026AB",-20.8,"PP","field",2021-10-26,"AB"
"211026AB",-20.8,"BR","field",2021-10-26,"AB"
"211026AB",-20.9,"FR","field",2021-10-26,"AB"
"211026AB",-21,"BR","field",2021-10-26,"AB"
"211026AB",-21,"PP","field",2021-10-26,"AB"
"211026AB",-21,"PP","field",2021-10-26,"AB"
"211026AB",-21.1,"PP","field",2021-10-26,"AB"
"211026AB",-21.1,"FR","field",2021-10-26,"AB"
"211026AB",-21.2,"MQ","field",2021-10-26,"AB"
"211026AB",-21.2,"PP","field",2021-10-26,"AB"
"211026AB",-21.2,"PP","field",2021-10-26,"AB"
"211026AB",-21.2,"MQ","field",2021-10-26,"AB"
"211026AB",-21.3,"MQ","field",2021-10-26,"AB"
"211026AB",-21.3,"LC","field",2021-10-26,"AB"
"211026AB",-21.4,"FR","field",2021-10-26,"AB"
"211026AB",-21.4,"FR","field",2021-10-26,"AB"
"211026AB",-21.5,"FR","field",2021-10-26,"AB"
"211026AB",-21.6,"FR","field",2021-10-26,"AB"
"211026AB",-21.6,"MQ","field",2021-10-26,"AB"
"211026AB",-21.6,"MQ","field",2021-10-26,"AB"
"211026AB",-21.7,"FR","field",2021-10-26,"AB"
"211026AB",-21.7,"FR","field",2021-10-26,"AB"
"211026AB",-21.9,"MQ","field",2021-10-26,"AB"
"211026AB",-22,"MQ","field",2021-10-26,"AB"
"211026AB",-22,"MQ","field",2021-10-26,"AB"
"211026AB",-22.5,"MQ","field",2021-10-26,"AB"
"211026AB",-14.2,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-14.7,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-15.1,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-15.1,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-15.2,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-15.3,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-15.3,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-15.4,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-15.5,"BR","fluctuating",2021-10-26,"AB"
"211026AB",-15.5,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-15.6,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-15.7,"BR","fluctuating",2021-10-26,"AB"
"211026AB",-15.8,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-16,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-16.2,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-16.3,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-16.4,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-16.4,"BR","fluctuating",2021-10-26,"AB"
"211026AB",-16.4,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-16.5,"BR","fluctuating",2021-10-26,"AB"
"211026AB",-16.5,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-16.5,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-16.5,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-16.6,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-16.6,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-16.6,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-16.7,"BR","fluctuating",2021-10-26,"AB"
"211026AB",-16.8,"BR","fluctuating",2021-10-26,"AB"
"211026AB",-16.8,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-16.9,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-16.9,"BR","fluctuating",2021-10-26,"AB"
"211026AB",-16.9,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-17,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-17.02,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-17.2,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-17.2,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-17.2,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-17.2,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-17.3,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-17.3,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-17.3,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-17.4,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-17.4,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-17.5,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-17.5,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-17.6,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-17.7,"BR","fluctuating",2021-10-26,"AB"
"211026AB",-17.7,"BR","fluctuating",2021-10-26,"AB"
"211026AB",-17.7,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-17.9,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-17.9,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-17.9,"BR","fluctuating",2021-10-26,"AB"
"211026AB",-18,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-18.1,"BR","fluctuating",2021-10-26,"AB"
"211026AB",-18.1,"BR","fluctuating",2021-10-26,"AB"
"211026AB",-18.1,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-18.2,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-18.2,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-18.3,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-18.3,"LC","fluctuating",2021-10-26,"AB"
"211026AB",-18.3,"BR","fluctuating",2021-10-26,"AB"
"211026AB",-18.3,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-18.3,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-18.4,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-18.4,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-18.5,"PP","fluctuating",2021-10-26,"AB"
"211026AB",-18.7,"BR","fluctuating",2021-10-26,"AB"
"211026AB",-18.7,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-18.8,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-18.9,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-19.1,"MQ","fluctuating",2021-10-26,"AB"
"211026AB",-19.5,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-19.5,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-20.6,"FR","fluctuating",2021-10-26,"AB"
"211026AB",-22.8,"BR","fluctuating",2021-10-26,"AB"
"211109AC",-11.6,"PP","constant",2021-11-09,"AC"
"211109AC",-12.1,"LC","constant",2021-11-09,"AC"
"211109AC",-12.5,"LC","constant",2021-11-09,"AC"
"211109AC",-13.1,"BR","constant",2021-11-09,"AC"
"211109AC",-13.2,"BR","constant",2021-11-09,"AC"
"211109AC",-13.3,"BR","constant",2021-11-09,"AC"
"211109AC",-13.3,"LC","constant",2021-11-09,"AC"
"211109AC",-13.4,"LC","constant",2021-11-09,"AC"
"211109AC",-13.4,"LC","constant",2021-11-09,"AC"
"211109AC",-13.5,"LC","constant",2021-11-09,"AC"
"211109AC",-13.7,"BR","constant",2021-11-09,"AC"
"211109AC",-13.8,"BR","constant",2021-11-09,"AC"
"211109AC",-13.8,"LC","constant",2021-11-09,"AC"
"211109AC",-13.9,"BR","constant",2021-11-09,"AC"
"211109AC",-13.9,"PP","constant",2021-11-09,"AC"
"211109AC",-13.9,"LC","constant",2021-11-09,"AC"
"211109AC",-13.9,"BR","constant",2021-11-09,"AC"
"211109AC",-14,"MQ","constant",2021-11-09,"AC"
"211109AC",-14,"LC","constant",2021-11-09,"AC"
"211109AC",-14.1,"PP","constant",2021-11-09,"AC"
"211109AC",-14.1,"BR","constant",2021-11-09,"AC"
"211109AC",-14.2,"LC","constant",2021-11-09,"AC"
"211109AC",-14.3,"BR","constant",2021-11-09,"AC"
"211109AC",-14.3,"PP","constant",2021-11-09,"AC"
