Sample,Start,Trt,Cultivar,Sample.ID,BB_date,BB_days
AG,1/19/22,con-flu,PP,5,2/5/22,17
AG,1/19/22,con-flu,PP,6,2/5/22,17
AG,1/19/22,con-flu,PP,7,2/7/22,19
AG,1/19/22,con-flu,PP,8,2/8/22,20
AG,1/19/22,con-flu,PP,9,2/10/22,22
AG,1/19/22,con-flu,PP,10,2/12/22,24
AG,1/19/22,flu-con,BR,1,1/29/22,10
AG,1/19/22,flu-con,BR,2,1/30/22,11
AG,1/19/22,flu-con,BR,3,2/2/22,14
AG,1/19/22,flu-con,BR,4,2/2/22,14
AG,1/19/22,flu-con,BR,5,2/3/22,15
AG,1/19/22,flu-con,BR,6,2/4/22,16
AG,1/19/22,flu-con,BR,7,2/4/22,16
AG,1/19/22,flu-con,BR,8,2/5/22,17
AG,1/19/22,flu-con,BR,9,2/6/22,18
AG,1/19/22,flu-con,BR,10,2/10/22,22
AG,1/19/22,flu-con,FR,1,2/2/22,14
AG,1/19/22,flu-con,FR,2,2/3/22,15
AG,1/19/22,flu-con,FR,3,2/4/22,16
AG,1/19/22,flu-con,FR,4,2/4/22,16
AG,1/19/22,flu-con,FR,5,2/6/22,18
AG,1/19/22,flu-con,FR,6,2/10/22,22
AG,1/19/22,flu-con,FR,7,2/11/22,23
AG,1/19/22,flu-con,FR,8,2/11/22,23
AG,1/19/22,flu-con,FR,9,2/14/22,26
AG,1/19/22,flu-con,FR,10,2/15/22,27
AG,1/19/22,flu-con,LC,1,1/28/22,9
AG,1/19/22,flu-con,LC,2,1/31/22,12
AG,1/19/22,flu-con,LC,3,2/1/22,13
AG,1/19/22,flu-con,LC,4,2/2/22,14
AG,1/19/22,flu-con,LC,5,2/3/22,15
AG,1/19/22,flu-con,LC,6,2/4/22,16
AG,1/19/22,flu-con,LC,7,2/8/22,20
AG,1/19/22,flu-con,LC,8,2/9/22,21
AG,1/19/22,flu-con,LC,9,2/16/22,28
AG,1/19/22,flu-con,LC,10,3/3/22,43
AG,1/19/22,flu-con,MQ,1,2/4/22,16
AG,1/19/22,flu-con,MQ,2,2/7/22,19
AG,1/19/22,flu-con,MQ,3,2/8/22,20
AG,1/19/22,flu-con,MQ,4,2/8/22,20
AG,1/19/22,flu-con,MQ,5,2/9/22,21
AG,1/19/22,flu-con,MQ,6,2/10/22,22
AG,1/19/22,flu-con,MQ,7,2/13/22,25
AG,1/19/22,flu-con,MQ,8,2/16/22,28
AG,1/19/22,flu-con,MQ,9,2/20/22,32
AG,1/19/22,flu-con,MQ,10,2/22/22,34
AG,1/19/22,flu-con,PP,1,1/31/22,12
AG,1/19/22,flu-con,PP,2,1/31/22,12
AG,1/19/22,flu-con,PP,3,2/2/22,14
AG,1/19/22,flu-con,PP,4,2/3/22,15
AG,1/19/22,flu-con,PP,5,2/4/22,16
AG,1/19/22,flu-con,PP,6,2/8/22,20
AG,1/19/22,flu-con,PP,7,2/8/22,20
AG,1/19/22,flu-con,PP,8,2/13/22,25
AG,1/19/22,flu-con,PP,9,2/13/22,25
AG,1/19/22,flu-con,PP,10,2/14/22,26
